ciclo,edad,area,competencia,capacidad,criterio
ciclo-I,2 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Reconoce sus intereses, necesidades y las sensaciones que percibe de su cuerpo, las diferencia de las de los otros, a través de palabras, acciones, gestos o movimientos. Hace algunas cosas por sí solo, se aleja del adulto por períodos más largos y retorna de manera espontánea."
ciclo-I,2 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Reconoce sus necesidades, sensaciones e intereses, las diferencia de las de los otros, a través de palabras, acciones, gestos o movimientos. Hace algunas cosas por sí solo y hace valer sus decisiones. Se siente parte de su familia, reconoce a sus miembros y a otras personas conocidas."
ciclo-I,2 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Construye normas y asume acuerdos y leyes,Colabora en el cuidado y orden de los materiales y espacios que utiliza.
ciclo-I,2 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Interactúa con todas las personas,"Interactúa con el adulto significativo, se aleja sintiéndose seguro y luego regresa para recibir contención. En algunos momentos, se relaciona con otros adultos que conoce. Juega con otros niños a partir de sus propios intereses y posibilidades."
ciclo-I,2 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Interactúa con todas las personas,"Interactúa por momentos cortos con otros niños que están en el mismo espacio. Juega junto a ellos, pero no necesariamente con ellos. Reconoce al adulto significativo; en algunos momentos, se aleja sintiéndose seguro y luego regresa para recibir contención."
ciclo-II,3 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Diseña estrategias para hacer indagación,Obtiene información sobre las características de los objetos and materiales que explora a través de sus sentidos. Usa algunos objetos y herramientas en su exploración.
ciclo-II,3 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Genera y registra datos o información,"Comunica los descubrimientos que hace cuando explora. Utiliza gestos o señas, movimientos corporales o lo hace oralmente."
ciclo-II,3 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Problematiza situaciones para hacer indagación,"Hace preguntas que expresan su curiosidad sobre los objetos, seres vivos, hechos o fenómenos que acontecen en su ambiente."
ciclo-II,3 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Aplica procesos creativos,"Representa sus ideas acerca de sus vivencias personales usando diferentes lenguajes artísticos (el dibujo, la pintura, la danza o el movimiento, el teatro, la música, los títeres, etc.)."
ciclo-II,3 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Explora y experimenta los lenguajes del arte,Explora por iniciativa propia diversos materiales de acuerdo con sus necesidades e intereses. Descubre las posibilidades expresivas de sus movimientos y de los materiales con los que trabaja.
ciclo-II,3 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Socializa sus procesos y proyectos,"Muestra y comenta de forma espontánea, a compañeros y adultos de su entorno, lo que ha realizado al jugar y crear proyectos a través de los lenguajes artísticos."
ciclo-II,3 años,Comunicación,Escribe diversos tipos de textos en su lengua materna,Adecúa el texto a la situación comunicativa,No se evidencian desempeños en esta edad.
ciclo-II,3 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,Infiere e interpreta información del texto escrito,"Dice de qué tratará, cómo continuará o cómo terminará el texto a partir de las ilustraciones o imágenes que observa antes y durante la lectura que realiza (por sí mismo o a través de un adulto)."
ciclo-II,3 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,Obtiene información del texto escrito,"Identifica características de personas, personajes, animales u objetos a partir de lo que observa en las ilustraciones cuando explora cuentos, etiquetas, carteles, que se presenta en variados soportes."
ciclo-II,3 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,"Reflexiona y evalúa la forma, el contenido y contexto del texto escrito","Comenta las emociones que le generó el texto leído (por sí mismo o a través de un adulto), a partir de sus intereses y experiencias."
ciclo-II,3 años,Comunicación,Se comunica oralmente en su lengua materna,"Adecúa, organiza y desarrolla el texto de forma coherente y cohesionada","Recupera información explícita de un texto oral. Menciona el nombre de personas y personajes, sigue indicaciones orales o vuelve a contar con sus propias palabras los sucesos que más le gustaron."
ciclo-II,3 años,Comunicación,Se comunica oralmente en su lengua materna,Infiere e interpreta información del texto oral,"Participa en conversaciones o escucha cuentos, leyendas y otros relatos de la tradición oral. Formula preguntas sobre lo que le interesa saber o responde a lo que le preguntan."
ciclo-II,3 años,Comunicación,Se comunica oralmente en su lengua materna,Interactúa estratégicamente con distintos interlocutores,"Comenta lo que le gusta o le disgusta de personas, personajes, hechos o situaciones de la vida cotidiana a partir de sus experiencias y del contexto en que se desenvuelve."
ciclo-II,3 años,Comunicación,Se comunica oralmente en su lengua materna,Obtiene información del texto oral,"Expresa sus necesidades, emociones, intereses y da cuenta de algunas experiencias al interactuar con personas de su entorno familiar, escolar o local. Utiliza palabras de uso frecuente, sonrisas, miradas, señas, gestos, movimientos corporales y diversos volúmenes de voz con la intención de lograr su propósito: informar, pedir, convencer o agradecer."
ciclo-II,3 años,Comunicación,Se comunica oralmente en su lengua materna,Utiliza recursos no verbales y paraverbales de forma estratégica,"Deduce características de personas, personajes, animales y objetos en anécdotas, cuentos y rimas orales."
ciclo-II,3 años,Matemática,Resuelve problemas de cantidad,Comunica su comprensión sobre los números y las operaciones,"Usa algunas expresiones que muestran su comprensión acerca de la cantidad, peso y el tiempo — 'muchos', 'pocos', 'pesa mucho', 'pesa poco', 'un ratito' — en situaciones cotidianas."
ciclo-II,3 años,Matemática,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,"Establece relaciones entre los objetos de su entorno según sus características perceptuales al comparar y agrupar aquellos objetos similares que le sirven para algún fin, y dejar algunos elementos sueltos."
ciclo-II,3 años,Matemática,Resuelve problemas de cantidad,Usa estrategias y procedimientos de estimación y cálculo,Utiliza el conteo espontáneo en situaciones cotidianas siguiendo un orden no convencional respecto de la serie numérica.
ciclo-II,3 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Comunica su comprensión sobre las formas y relaciones geométricas,"Se ubica a sí mismo y ubica objetos en el espacio en el que se encuentra; a partir de ello, organiza sus movimientos y acciones para desplazarse. Utiliza expresiones como 'arriba', 'abajo', 'dentro' y 'fuera'."
ciclo-II,3 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,Establece relaciones de medida en situaciones cotidianas. Expresa con su cuerpo o mediante algunas acciones cuando algo es grande o pequeño.
ciclo-II,3 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Usa estrategias y procedimientos para orientarse en el espacio,"Prueba diferentes formas de resolver una determinada situación relacionada con la ubicación, desplazamiento en el espacio y la construcción de objetos con material concreto."
ciclo-II,3 años,Personal Social,Construye su identidad,Autorregula sus emociones,"Expresa sus emociones; utiliza para ello gestos, movimientos corporales y palabras. Identifica sus emociones y las que observa en los demás cuando el adulto las nombra."
ciclo-II,3 años,Personal Social,Construye su identidad,Autorregula sus emociones,Se reconoce como miembro de su familia y grupo de aula. Identifica a los integrantes de ambos grupos.
ciclo-II,3 años,Personal Social,Construye su identidad,Se valora a sí mismo,Busca la compañía y consuelo del adulto en situaciones en las que lo necesita para sentirse seguro. Tolera algunos tiempos de espera anticipados por el adulto.
ciclo-II,3 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Reconoce sus necesidades, sensaciones, intereses y preferencias; las diferencia de las de los otros a través de palabras, acciones, gestos o movimientos."
ciclo-II,3 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Toma la iniciativa para realizar actividades cotidianas y juegos desde sus intereses. Realiza acciones de cuidado personal, hábitos de alimentación e higiene."
ciclo-II,3 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas","Conoce a Dios y asume su identidad religiosa y espiritual como persona digna, libre y trascendente",Disfruta por iniciativa propia de la naturaleza creada por Dios con amor.
ciclo-II,3 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas","Conoce a Dios y asume su identidad religiosa y espiritual como persona digna, libre y trascendente","Reconoce de manera espontánea, a través de sus acciones diarias, el amor y cuidado que le brinda su familia, como un indicio del amor de Dios, y da inicio a acciones como colaborar, saludar, despedirse y agradecer por propia iniciativa."
ciclo-II,3 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",Cultiva y valora las manifestaciones religiosas de su entorno argumentando su fe de manera comprensible y respetuosa,Demuestra su amor al prójimo acogiendo y compartiendo con todos como amigos de Jesús.
ciclo-II,3 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",Cultiva y valora las manifestaciones religiosas de su entorno argumentando su fe de manera comprensible y respetuosa,Participa en las prácticas de la confesión religiosa de sus padres y lo comenta a sus compañeros de aula.
ciclo-II,3 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Construye normas y asume acuerdos y leyes,Participa en actividades grupales poniendo en práctica las normas de convivencia y los límites que conoce.
ciclo-II,3 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Interactúa con todas las personas,Se relaciona con adultos y niños de su entorno en diferentes actividades del aula y juega en pequeños grupos.
ciclo-II,3 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Participa en acciones que promueven el bienestar común,"Colabora en el cuidado del uso de recursos, materiales y espacios compartidos."
ciclo-II,3 años,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Comprende su cuerpo,Reconoce las partes de su cuerpo y sus posibilidades de movimiento en distintas situaciones explorando materiales y espacios
ciclo-II,3 años,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Se expresa corporalmente,Expresa emociones e ideas a través del movimiento el juego y la danza con agrado e iniciativa
ciclo-II,4 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Analiza datos e información,"Compara su respuesta inicial respecto al objeto, ser vivo o hecho de interés, con la información obtenida posteriormente."
ciclo-II,4 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Diseña estrategias para hacer indagación,"Propone acciones, y el uso de materiales e instrumentos para buscar información del objeto, ser vivo o hecho de interés que le genera interrogantes."
ciclo-II,4 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Evalúa y comunica el proceso y resultado de su indagación,"Comunica las acciones que realizó para obtener información y comparte sus resultados. Utiliza sus registros (dibujos, fotos u otras formas de representación) o lo hace verbalmente."
ciclo-II,4 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Genera y registra datos o información,"Obtiene información sobre las características de los objetos, seres vivos o fenómenos naturales que observa y/o explora, y establece relaciones entre ellos. Registra la información de diferentes formas (dibujos, fotos, modelados)."
ciclo-II,4 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Problematiza situaciones para hacer indagación,"Hace preguntas que expresan su curiosidad sobre los objetos, seres vivos, hechos o fenómenos que acontecen en su ambiente; y, al responder, da a conocer lo que sabe acerca de ellos."
ciclo-II,4 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Aplica procesos creativos,"Representa ideas acerca de sus vivencias personales usando diferentes lenguajes artísticos (el dibujo, la pintura, la danza o el movimiento, el teatro, la música, los títeres, etc.)."
ciclo-II,4 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Explora y experimenta los lenguajes del arte,Explora por iniciativa propia diversos materiales de acuerdo con sus necesidades e intereses. Descubre los efectos que se producen al combinar un material con otro.
ciclo-II,4 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Socializa sus procesos y proyectos,"Muestra y comenta de forma espontánea a compañeros y adultos de su entorno, lo que ha realizado, al jugar y crear proyectos a través de los lenguajes artísticos."
ciclo-II,4 años,Comunicación,Escribe diversos tipos de textos en su lengua materna,Adecúa el texto a la situación comunicativa,"Escribe por propia iniciativa y a su manera sobre lo que le interesa. Utiliza trazos, grafismos u otras formas para expresar sus ideas y emociones a través de una nota, para relatar una vivencia o un cuento."
ciclo-II,4 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,Infiere e interpreta información del texto escrito,"Dice de qué tratará, cómo continuará o cómo terminará el texto a partir de las ilustraciones o imágenes que observa antes y durante la lectura que realiza (por sí mismo o a través de un adulto)."
ciclo-II,4 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,Obtiene información del texto escrito,"Identifica características de personas, personajes, animales, objetos o acciones a partir de lo que observa en ilustraciones cuando explora cuentos, etiquetas, carteles, que se presentan en variados soportes."
ciclo-II,4 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,"Reflexiona y evalúa la forma, el contenido y contexto del texto escrito","Comenta las emociones que le generó el texto leído (por sí mismo o a través de un adulto), a partir de sus intereses y experiencias."
ciclo-II,4 años,Comunicación,Se comunica oralmente en su lengua materna,"Adecúa, organiza y desarrolla el texto de forma coherente y cohesionada","Recupera información explícita de un texto oral. Menciona algunos hechos, el nombre de personas y personajes. Sigue indicaciones orales o vuelve a contar con sus propias palabras los sucesos que más le gustaron."
ciclo-II,4 años,Comunicación,Se comunica oralmente en su lengua materna,Infiere e interpreta información del texto oral,"Participa en conversaciones o escucha cuentos, leyendas, adivinanzas y otros relatos de la tradición oral. Formula preguntas sobre lo que le interesa saber o lo que no ha comprendido o responde a lo que le preguntan."
ciclo-II,4 años,Comunicación,Se comunica oralmente en su lengua materna,Interactúa estratégicamente con distintos interlocutores,"Comenta lo que le gusta o le disgusta de personas, personajes, hechos o situaciones de la vida cotidiana a partir de sus experiencias y del contexto en que se desenvuelve."
ciclo-II,4 años,Comunicación,Se comunica oralmente en su lengua materna,Obtiene información del texto oral,"Expresa sus necesidades, emociones, intereses y da cuenta de sus experiencias al interactuar con personas de su entorno familiar, escolar o local. Utiliza palabras de uso frecuente, sonrisas, miradas, señas, gestos, movimientos corporales y diversos volúmenes de voz según su interlocutor y propósito: informar, pedir, convencer o agradecer."
ciclo-II,4 años,Comunicación,Se comunica oralmente en su lengua materna,Utiliza recursos no verbales y paraverbales de forma estratégica,"Deduce relaciones de causa-efecto, así como características de personas, personajes, animales y objetos en anécdotas, cuentos, leyendas y rimas orales."
ciclo-II,4 años,Matemática,Resuelve problemas de cantidad,Comunica su comprensión sobre los números y las operaciones,Realiza seriaciones por tamaño de hasta tres objetos.
ciclo-II,4 años,Matemática,Resuelve problemas de cantidad,Comunica su comprensión sobre los números y las operaciones,"Utiliza el conteo hasta 5, en situaciones cotidianas en las que requiere contar, empleando material concreto o su propio cuerpo."
ciclo-II,4 años,Matemática,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,"Establece relaciones entre los objetos de su entorno según sus características perceptuales al comparar y agrupar aquellos objetos similares que le sirven para algún fin, y dejar algunos elementos sueltos."
ciclo-II,4 años,Matemática,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,"Usa algunas expresiones que muestran su comprensión acerca de la cantidad, el tiempo y el peso — 'muchos', 'pocos', 'pesa mucho', 'pesa poco', 'antes' o 'después' — en situaciones cotidianas."
ciclo-II,4 años,Matemática,Resuelve problemas de cantidad,Usa estrategias y procedimientos de estimación y cálculo,Establece correspondencia uno a uno en situaciones cotidianas.
ciclo-II,4 años,Matemática,Resuelve problemas de cantidad,Usa estrategias y procedimientos de estimación y cálculo,"Utiliza los números ordinales 'primero', 'segundo' y 'tercero' para establecer la posición de un objeto o persona en situaciones cotidianas."
ciclo-II,4 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Comunica su comprensión sobre las formas y relaciones geométricas,Establece relaciones de medida en situaciones cotidianas. Expresa con su cuerpo o mediante algunas palabras cuando algo es grande o pequeño.
ciclo-II,4 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Comunica su comprensión sobre las formas y relaciones geométricas,"Prueba diferentes formas de resolver una determinada situación relacionada con la ubicación, desplazamiento en el espacio y la construcción de objetos con material concreto, y elige una para lograr su propósito."
ciclo-II,4 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,Establece relaciones entre las formas de los objetos que están en su entorno.
ciclo-II,4 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,"Expresa con material concreto y dibujos sus vivencias, en los que muestra relaciones espaciales entre personas y objetos."
ciclo-II,4 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Usa estrategias y procedimientos para orientarse en el espacio,"Se ubica a sí mismo y ubica objetos en el espacio en el que se encuentra; organiza sus movimientos y acciones para desplazarse. Utiliza expresiones como 'arriba', 'abajo', 'dentro', 'fuera', 'delante de', 'detrás de', 'encima', 'debajo', 'hacia adelante' y 'hacia atrás'."
ciclo-II,4 años,Personal Social,Construye su identidad,Autorregula sus emociones,"Expresa sus emociones; utiliza palabras, gestos y movimientos corporales. Reconoce las emociones en los demás, y muestra su simpatía o trata de ayudar."
ciclo-II,4 años,Personal Social,Construye su identidad,Autorregula sus emociones,Se reconoce como miembro de su familia y grupo de aula. Comparte hechos importantes de su historia familiar.
ciclo-II,4 años,Personal Social,Construye su identidad,Se valora a sí mismo,Busca la compañía y consuelo del adulto en situaciones en las que lo necesita para sentirse seguro o contenido. Da razón de lo que le sucedió.
ciclo-II,4 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Reconoce sus intereses, preferencias y características; las diferencia de las de los otros a través de palabras o acciones, dentro de su familia o grupo de aula."
ciclo-II,4 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Toma la iniciativa para realizar acciones de cuidado personal, de alimentación e higiene de manera autónoma. Explica la importancia de estos hábitos para su salud."
